,Type,Symbol,Description,Close,LastWaveStart,LastwaveEnd,LastWavePeriod,LastWaveValueGain,CurrentWaveStart,CurrentPeriod,CurrentValueGain,TRelative,GainRelative,Congruence,P,DeltaN,YieldEst,GainPerDayCurrent,GainPerDayEstimated,Boll-2MA,MA2Boll+
316,commodities,LBS=F,Lumber Mar 22,1024.9,2021-11-16,2022-01-18,63 days,91.81,2022-01-27,1 days,1.65,1.59,1.79,0.21,2.26,62,90.17,164.73,145.43,True,False
317,etf,ECOO11.SA,ISHARES ECOOCI,100.43,2021-03-08,2021-06-07,91 days,11.1,2022-01-10,21 days,10.3,23.08,92.78,69.71,1.35,70,0.8,49.05,1.14,False,True
318,etf,IVVB11.SA,ISHARE SP500CI,258.45,2020-12-17,2021-12-29,377 days,39.78,2022-01-27,4 days,0.74,1.06,1.87,0.81,9.62,373,39.04,18.57,10.47,True,False
319,etf,MATB11.SA,IT NOW IMAT CI,61.5,2021-06-17,2021-07-13,26 days,7.02,2021-11-05,87 days,19.59,334.62,278.96,55.65,5.1,-61,-12.57,22.52,20.61,False,True
320,etf,XINA11.SA,TREND CHINA CI,7.96,2021-07-27,2021-10-21,86 days,11.85,2022-01-31,0 days,0.51,0.0,4.26,4.26,1.31,86,11.34,inf,13.19,True,False
321,etf,GOLD11.SA,TREND OURO  CI,10.26,2021-07-02,2021-11-19,140 days,15.02,2022-01-31,0 days,-0.1,0.0,-0.65,0.65,-1.84,140,15.12,-inf,10.8,False,False
322,etf,SPXI11.SA,IT NOW SPXI CI,252.35,2020-09-21,2021-12-29,464 days,45.26,2022-01-27,4 days,0.48,0.86,1.05,0.19,1.3,460,44.78,11.92,9.74,True,False
323,etf,BCHI39.SA,MSCI CHINA  DRN,40.8,2021-07-27,2021-10-21,86 days,12.99,2022-01-28,3 days,0.44,3.49,3.41,0.07,3.69,83,12.54,14.78,15.11,True,False
324,etf,BIAU39.SA,GOLD TRUST  DRN,45.73,2021-07-02,2022-01-05,187 days,13.59,2022-01-31,0 days,-0.2,0.0,-1.45,1.45,-3.25,187,13.79,-inf,7.37,False,False
325,futures,GC=F,Gold Apr 22,1797.1,2021-09-29,2021-11-17,49 days,7.56,2021-12-02,60 days,1.02,122.45,13.44,109.01,0.12,-11,6.54,1.69,-59.48,True,False
326,futures,MGC=F,"Micro Gold Futures,Apr-2022",1797.2,2021-09-29,2021-11-17,49 days,7.58,2021-12-02,60 days,1.02,122.45,13.47,108.97,0.12,-11,6.56,1.7,-59.63,True,False
327,futures,PL=F,Platinum Apr 22,1020.3,2021-09-20,2021-11-15,56 days,17.04,2021-12-15,47 days,12.15,83.93,71.33,12.6,6.15,9,4.89,25.86,54.29,False,True
328,futures,ZC=F,"Corn Futures,Mar-2022",638.25,2020-08-07,2021-05-07,273 days,93.44,2021-09-13,140 days,24.68,51.28,26.41,24.88,1.11,133,68.77,17.63,51.71,False,True
329,futures,ZO=F,"Oat Futures,Mar-2022",710.0,2021-05-28,2021-11-19,175 days,74.74,2022-01-14,17 days,13.6,9.71,18.19,8.48,2.43,158,61.15,79.99,38.7,False,False
330,futures,KE=F,"KC HRW Wheat Futures,Mar-2022",805.0,2021-09-10,2021-11-23,74 days,26.87,2022-01-14,17 days,6.07,22.97,22.6,0.37,36.14,57,20.8,35.72,36.49,False,True
331,futures,ZR=F,"Rough Rice Futures,Mar-2022",1497.5,2021-11-08,2022-01-26,79 days,12.82,2021-12-15,44 days,8.9,55.7,69.46,13.76,5.44,35,3.92,20.24,11.19,False,True
332,futures,ZM=F,"Soybean Meal Futures,Mar-2022",414.9,2021-04-13,2021-05-12,29 days,11.7,2021-10-12,111 days,29.5,382.76,252.1,130.66,1.94,-82,-17.8,26.58,21.7,False,True
333,futures,ZL=F,"Soybean Oil Futures,Mar-2022",66.03,2021-09-20,2022-01-31,133 days,17.43,2021-12-14,48 days,22.02,36.09,126.36,90.27,1.42,85,-4.59,45.88,-5.41,False,True
334,futures,ZS=F,"Soybean Futures,Mar-2022",1487.25,2020-08-10,2021-05-12,275 days,66.25,2021-11-08,84 days,22.58,30.55,34.09,3.54,13.42,191,43.67,26.88,22.86,False,False
335,futures,HE=F,"Lean Hogs Futures,Feb-2022",87.93,2021-09-14,2021-10-01,17 days,13.58,2021-12-08,51 days,21.02,300.0,154.8,145.2,1.07,-34,-7.44,41.22,21.89,False,True
336,futures,LE=F,"Live Cattle Futures,Feb-2022",138.7,2020-10-28,2021-12-29,427 days,29.98,2021-06-01,241 days,18.79,56.44,62.67,6.23,11.98,186,11.19,7.8,6.02,False,True
337,futures,CC=F,Cocoa Mar 22,2501.0,2021-07-19,2021-10-05,78 days,17.91,2021-11-30,62 days,8.11,79.49,45.3,34.18,1.37,16,9.8,13.09,61.23,True,False
338,futures,KC=F,Coffee Mar 22,236.55,2021-09-22,2021-12-06,75 days,32.55,2022-01-03,28 days,4.83,37.33,14.85,22.48,0.69,47,27.72,17.27,58.97,False,True
339,futures,LBS=F,Lumber Mar 22,1024.9,2021-11-16,2022-01-18,63 days,91.81,2022-01-27,1 days,1.65,1.59,1.79,0.21,2.26,62,90.17,164.73,145.43,True,False
340,futures,DX-Y.NYB,US Dollar/USDX - Index - Cash,96.89,2021-01-05,2022-01-28,388 days,8.05,2021-05-25,251 days,7.65,64.69,95.04,30.35,3.24,137,0.4,3.05,0.29,False,True
341,futures,CL=F,Crude Oil Mar 22,87.44,2021-08-23,2022-01-31,161 days,36.78,2021-12-01,61 days,28.68,37.89,77.98,40.09,1.99,100,8.1,47.02,8.1,False,True
342,futures,BZ=F,Brent Crude Oil Last Day Financ,91.23,2021-08-23,2022-01-31,161 days,35.98,2021-12-01,61 days,26.3,37.89,73.1,35.21,2.14,100,9.68,43.12,9.68,False,True
343,futures,GF=F,"Feeder Cattle Futures,Mar-2022",158.66,2021-10-01,2021-11-26,56 days,8.43,2022-01-28,0 days,-0.17,0.0,-1.98,1.98,-2.02,56,8.6,-inf,15.35,True,False
344,futures,HG=F,Copper Mar 22,4.3,2021-08-19,2021-10-20,62 days,15.17,2021-12-15,47 days,1.39,75.81,9.16,66.65,0.14,15,13.78,2.96,91.85,True,False
345,futures,HO=F,Heating Oil Feb 22,2.8,2021-08-23,2022-01-31,161 days,40.72,2021-11-30,62 days,26.98,38.51,66.25,27.74,2.48,99,13.74,43.51,13.88,False,True
346,futures,NG=F,Natural Gas Mar 22,4.78,2021-04-06,2021-10-05,182 days,96.89,2021-12-30,32 days,33.34,17.58,34.41,16.83,2.17,150,63.55,104.18,42.37,False,True
347,futures,NQ=F,Nasdaq 100 Mar 22,14486.25,2021-10-04,2021-11-19,46 days,11.72,2022-01-27,4 days,2.35,8.7,20.02,11.33,1.94,42,9.37,58.66,22.31,True,False
348,futures,PA=F,Palladium Mar 22,2436.5,2021-09-29,2022-01-31,124 days,31.13,2021-12-15,47 days,42.65,37.9,137.02,99.12,1.4,77,-11.52,90.75,-14.97,False,True
349,futures,RB=F,RBOB Gasoline Feb 22,2.57,2021-09-09,2022-01-31,144 days,20.95,2021-12-01,61 days,26.56,42.36,126.77,84.41,1.52,83,-5.61,43.53,-6.76,False,True
350,futures,RTY=F,E-mini Russell 2000 Index Futur,1954.9,2021-08-19,2021-11-08,81 days,12.89,2022-01-27,4 days,-0.86,4.94,-6.68,11.62,-0.63,77,13.75,-21.52,17.86,True,False
351,futures,SB=F,Sugar #11 Mar 22,18.15,2021-09-27,2021-11-17,51 days,7.12,2022-01-13,18 days,-0.96,35.29,-13.47,48.76,-0.28,33,8.08,-5.33,24.48,True,False
352,futures,SI=F,Silver Mar 22,22.53,2021-09-29,2021-11-12,44 days,12.67,2021-12-15,47 days,3.48,106.82,27.49,79.33,0.35,-3,9.19,7.41,-306.2,True,False
353,futures,SIL=F,"Micro Silver Futures,Mar-2022",22.53,2021-09-29,2021-11-12,44 days,12.67,2021-12-15,47 days,3.5,106.82,27.67,79.15,0.35,-3,9.16,7.46,-305.45,True,False
354,futures,YM=F,Mini Dow Jones Indus.-$5 Mar 22,34466.0,2021-09-30,2022-01-04,96 days,7.05,2022-01-27,4 days,1.21,4.17,17.21,13.05,1.43,92,5.84,30.33,6.34,True,False
355,futures,ZB=F,"U.S. Treasury Bond Futures,Mar-",155.12,2021-10-11,2021-12-03,53 days,5.0,2022-01-18,13 days,-0.12,24.53,-2.46,26.99,-0.09,40,5.13,-0.95,12.82,True,False
356,futures,ZF=F,Five-Year US Treasury Note Futu,119.12,2021-07-13,2021-08-03,21 days,0.67,2022-01-27,4 days,0.02,19.05,2.98,16.07,0.2,17,0.65,0.5,3.81,True,False
357,futures,CT=F,Cotton Mar 22,126.1,2021-09-21,2022-01-31,132 days,35.55,2021-12-20,42 days,16.49,31.82,46.37,14.55,3.42,90,19.07,39.25,21.19,False,True
358,futures,ES=F,E-Mini S&P 500 Mar 22,4416.5,2020-11-03,2022-01-03,426 days,38.18,2022-01-27,4 days,1.74,0.94,4.57,3.63,1.74,422,36.44,43.59,8.63,True,False
359,futures,ZN=F,"10-Year T-Note Futures,Mar-2022",127.78,2021-03-31,2021-08-02,124 days,2.89,2022-01-18,13 days,-0.31,10.48,-10.79,21.28,-0.53,111,3.2,-2.4,2.88,True,False
360,futures,ZT=F,"2-Year T-Note Futures,Mar-2022",108.28,2021-08-24,2021-09-03,10 days,0.07,2022-01-27,4 days,-0.19,40.0,-264.27,304.27,-0.87,6,0.26,-4.68,4.3,True,False
361,futures,BTC=F,"Bitcoin Futures,Feb-2022",37345.0,2021-09-29,2021-11-09,41 days,51.3,2022-01-27,4 days,0.94,9.76,1.83,7.92,0.26,37,50.36,23.5,136.11,True,False
