,Type,Symbol,Description,Close,LastWaveStart,LastwaveEnd,LastWavePeriod,LastWaveValueGain,CurrentWaveStart,CurrentPeriod,CurrentValueGain,TRelative,GainRelative,Congruence,P,DeltaN,YieldEst,GainPerDayCurrent,GainPerDayEstimated,Boll-2MA,MA2Boll+
237,bov,BBRK3.SA,BR BROKERS  ON      NM,1.25,2021-06-11,2021-06-23,12 days,96.94,2022-01-18,13 days,26.63,108.33,27.47,80.86,0.34,-1,70.31,204.87,-7031.12,False,True
238,bov,ENMT3.SA,ENERGISA MT ON,79.42,2021-12-28,2022-01-19,22 days,2.09,2022-01-31,0 days,-0.71,0.0,-34.14,34.14,-1.03,22,2.8,-inf,12.73,False,False
239,bov,BMEB4.SA,MERC BRASIL PN      N1,11.34,2021-01-05,2022-01-28,388 days,56.77,2021-11-10,79 days,26.5,20.36,46.67,26.31,1.84,309,30.28,33.54,9.8,False,False
240,bov,VIVR3.SA,VIVER       ON      NM,1.2,2021-06-14,2021-06-23,9 days,179.42,2022-01-10,21 days,11.63,233.33,6.48,226.85,0.03,-12,167.79,55.39,-1398.25,False,False
241,bov,RCSL4.SA,RECRUSUL    PN,1.2,2021-12-06,2021-12-14,8 days,10.32,2022-01-10,21 days,5.76,262.5,55.84,206.66,0.27,-13,4.56,27.43,-35.04,False,True
242,bov,TECN3.SA,TECHNOS     ON      NM,2.38,2021-07-30,2021-10-19,81 days,48.51,2022-01-10,21 days,19.75,25.93,40.7,14.78,2.95,60,28.77,94.03,47.95,False,True
243,bov,CRIV3.SA,ALFA FINANC ON,5.19,2021-12-01,2022-01-27,57 days,6.59,2021-12-27,32 days,5.31,56.14,80.6,24.46,3.44,25,1.28,16.6,5.11,False,True
244,bov,HETA4.SA,HERCULES    PN,7.88,2021-09-03,2021-11-24,82 days,45.69,2022-01-05,23 days,2.06,28.05,4.51,23.54,0.2,59,43.63,8.96,73.94,True,False
245,bov,RRRP3.SA,3R PETROLEUMON      NM,39.39,2021-09-20,2021-10-05,15 days,23.51,2021-11-26,66 days,30.7,440.0,130.59,309.41,0.42,-51,-7.19,46.52,14.1,False,True
246,bov,AERI3.SA,AERIS       ON      NM,6.13,2021-08-16,2021-09-17,32 days,24.67,2022-01-18,13 days,2.27,40.62,9.19,31.43,0.3,19,22.4,17.45,117.92,False,True
247,bov,AESB3.SA,AES BRASIL  ON      NM,11.64,2021-08-11,2021-09-01,21 days,14.4,2022-01-10,21 days,12.52,100.0,86.99,13.01,7.24,0,1.87,59.64,inf,False,True
248,bov,AALR3.SA,ALLIAR      ON      NM,16.31,2021-11-18,2021-11-26,8 days,44.06,2022-01-10,21 days,27.22,262.5,61.79,200.71,0.31,-13,16.84,129.64,-129.51,False,True
249,bov,AMBP3.SA,AMBIPAR     ON      NM,39.76,2021-10-29,2021-11-25,27 days,22.27,2022-01-18,13 days,13.2,48.15,59.3,11.16,5.84,14,9.06,101.57,64.72,False,False
250,bov,ARZZ3.SA,AREZZO CO   ON      NM,80.01,2021-01-14,2021-07-15,182 days,48.7,2022-01-10,21 days,17.93,11.54,36.81,25.27,1.52,161,30.77,85.36,19.11,False,True
251,bov,BPAN4.SA,BANCO PAN   PN      N1,10.31,2021-03-24,2021-06-23,91 days,88.8,2022-01-18,13 days,4.95,14.29,5.57,8.71,0.72,78,83.85,38.07,107.5,False,True
