IBV=F
GC=F
MGC=F
PL=F
B0=F
ZC=F
ZO=F
KE=F
ZR=F
ZM=F
ZL=F
ZS=F
HE=F
LE=F
CC=F
KC=F
LBS=F
OJ=F
DX-Y.NYB
CL=F
BZ=F
GF=F
HG=F
HO=F
NG=F
NQ=F
PA=F
RB=F
RTY=F
SB=F
SI=F
SIL=F
YM=F
ZB=F
ZF=F
CT=F
ES=F
ZN=F
ZT=F
TIOX21.NYM
TIOM15.NYM
TIOQ21.CMX
BTC=F
