GC=F
MGC=F
PL=F
PA=F
CL=F
HO=F
NG=F
RB=F
BZ=F
B0=F
ZC=F
ZO=F
KE=F
ZR=F
ZM=F
ZL=F
ZS=F
GF=F
HE=F
LE=F
CC=F
KC=F
LBS=F
OJ=F
TIOX21.NYM
TIOM15.NYM
TIOQ21.CMX
