,Type,Symbol,Description,Close,LastWaveStart,LastwaveEnd,LastWavePeriod,LastWaveValueGain,CurrentWaveStart,CurrentPeriod,CurrentValueGain,TRelative,GainRelative,Congruence,P,DeltaN,YieldEst,GainPerDayCurrent,GainPerDayEstimated,Boll-2MA,MA2Boll+,RSI
30,bdr,FDXB34.SA,FEDEX CORP  DRN,1293.45,2021-10-04,2022-01-05,93 days,23.73,2022-01-31,0 days,-1.51,0.0,-6.36,6.36,-1.19,93,25.24,-inf,27.14,True,False,15.02
31,bdr,UPSS34.SA,UPS         DRN,65.55,2021-12-01,2022-01-04,34 days,9.5,2022-01-28,3 days,-0.29,8.82,-3.04,11.87,-0.28,31,9.79,-9.63,31.58,True,False,6.54
32,bdr,COWC34.SA,COSTCO      DRN,67.1,2021-06-11,2021-12-29,201 days,53.96,2022-01-25,6 days,0.37,2.99,0.69,2.29,0.53,195,53.58,6.22,27.48,True,False,37.06
33,bdr,UPAC34.SA,UNIONPACIFICDRN,323.74,2021-10-01,2022-01-05,96 days,30.3,2022-01-31,0 days,-2.48,0.0,-8.19,8.19,-1.14,96,32.79,-inf,34.15,False,False,5.1
34,bdr,CSXC34.SA,CSX CORP    DRN,93.73,2021-10-13,2022-01-07,86 days,16.66,2022-01-21,10 days,-2.97,11.63,-17.83,29.46,-0.63,76,19.63,-29.71,25.84,True,False,0.0
35,bdr,N1SC34.SA,NORFOLK SOUTDRN,359.64,2021-06-22,2021-12-29,190 days,21.93,2022-01-31,0 days,-3.84,0.0,-17.53,17.53,-1.06,190,25.78,-inf,13.57,True,False,11.76
36,bdr,CSCO34.SA,CISCO       DRN,59.21,2020-11-06,2021-12-29,418 days,64.08,2022-01-27,4 days,-0.8,0.96,-1.25,2.21,-1.04,414,64.89,-20.07,15.67,True,False,12.01
37,bdr,MCDC34.SA,MCDONALDS   DRN,68.73,2020-12-11,2021-12-29,383 days,40.81,2022-01-27,4 days,1.27,1.04,3.11,2.07,2.91,379,39.54,31.76,10.43,True,False,27.76
38,bdr,WALM34.SA,WAL MART    DRN,46.27,2021-10-04,2021-11-01,28 days,14.31,2022-01-27,4 days,0.59,14.29,4.14,10.15,0.45,24,13.72,14.8,57.15,True,False,23.84
39,bdr,S2HO34.SA,SHOPIFY INC DRN,41.7,2021-10-04,2021-11-19,46 days,28.98,2022-01-27,4 days,2.77,8.7,9.56,0.86,70.57,42,26.2,69.25,62.39,True,False,31.75
40,bdr,EBAY34.SA,EBAY        DRN,159.19,2021-08-17,2021-10-22,66 days,14.19,2022-01-27,4 days,1.64,6.06,11.55,5.49,2.57,62,12.55,40.97,20.24,True,False,16.31
41,bdr,AVGO34.SA,BROADCOM INCDRN,87.71,2021-06-24,2021-12-23,182 days,87.37,2022-01-21,10 days,2.03,5.49,2.33,3.17,1.08,172,85.33,20.35,49.61,True,False,28.36
42,bdr,VERZ34.SA,VERIZON     DRN,46.97,2021-09-22,2022-01-05,105 days,8.77,2022-01-27,4 days,1.89,3.81,21.6,17.79,1.29,101,6.88,47.37,6.81,True,False,30.11
43,bdr,P2IN34.SA,PINTERESTINCDRN,23.55,2021-10-11,2021-10-20,9 days,22.25,2022-01-28,3 days,-3.21,33.33,-14.41,47.74,-0.31,6,25.46,-106.86,424.27,True,False,9.65
44,bdr,ARMT34.SA,ARCELOR     DRN,79.44,2021-09-21,2022-01-13,114 days,30.55,2022-01-28,3 days,1.79,2.63,5.87,3.24,2.62,111,28.75,59.82,25.91,True,False,22.41
45,bdr,VRTX34.SA,VERTEX PHARMDRN,320.17,2021-06-22,2022-01-17,209 days,32.18,2021-10-04,119 days,28.74,56.94,89.31,32.37,2.85,90,3.44,24.15,3.82,False,True,56.47
46,bdr,FDMO34.SA,FORD MOTORS DRN,107.4,2021-05-12,2022-01-13,246 days,91.01,2022-01-28,3 days,2.37,1.22,2.6,1.38,6.78,243,88.64,78.99,36.48,True,False,19.08
47,bdr,CATP34.SA,CATERPILLAR DRN,67.1,2021-09-21,2022-01-17,118 days,27.27,2022-01-31,0 days,-0.27,0.0,-0.98,0.98,-51.56,118,27.54,-inf,23.34,False,False,25.87
48,bdr,ABUD34.SA,AB INBEV    DRN,55.56,2021-09-15,2022-01-17,124 days,24.0,2021-11-30,62 days,3.95,50.0,16.44,33.56,0.5,62,20.06,6.36,32.35,False,False,30.92
49,bdr,WFCO34.SA,WELLS FARGO DRN,71.37,2021-06-18,2022-01-17,213 days,44.93,2022-01-31,0 days,-1.71,0.0,-3.8,3.8,-1.36,213,46.63,-inf,21.89,True,False,26.63
50,cambio,USDBRL=X,USD/BRL,5.29,2021-09-10,2021-12-22,103 days,7.94,2022-02-01,0 days,-1.27,0.0,-15.97,15.97,-1.07,103,9.21,-inf,8.94,True,False,23.86
51,cambio,EURBRL=X,EUR/BRL,5.97,2021-11-16,2021-12-22,36 days,3.74,2022-02-01,0 days,-0.1,0.0,-2.55,2.55,-1.65,36,3.84,-inf,10.66,True,False,17.88
52,cambio,EURUSD=X,EUR/USD,1.13,2021-08-20,2021-09-07,18 days,1.46,2022-01-28,4 days,0.22,22.22,15.26,6.96,2.56,14,1.24,5.57,8.84,True,False,41.82
53,cripto,BTC-USD,Bitcoin USD,38297.91,2021-09-21,2021-11-08,48 days,48.66,2022-01-26,6 days,3.61,12.5,7.42,5.08,1.82,42,45.05,60.14,107.26,True,False,32.47
54,cripto,LTC-USD,Litecoin USD,109.74,2021-09-28,2021-11-14,47 days,69.78,2022-01-27,5 days,2.32,10.64,3.32,7.32,0.53,42,67.47,46.33,160.64,True,False,17.25
55,cripto,ETH-USD,Ethereum USD,2740.18,2021-09-21,2021-11-08,48 days,52.66,2022-01-27,5 days,10.69,10.42,20.31,9.89,2.28,43,41.97,213.87,97.6,True,False,34.57
56,cripto,CET-USD,CoinExToken USD,0.05,2021-09-30,2021-11-11,42 days,83.65,2022-01-27,5 days,2.6,11.9,3.1,8.8,0.4,37,81.05,51.92,219.05,True,False,26.04
57,cripto,SOL-USD,Solana USD,99.74,2021-12-14,2021-12-27,13 days,24.73,2022-01-27,4 days,8.29,30.77,33.52,2.75,19.13,9,16.44,207.27,182.69,True,False,26.77
58,cripto,EGLD-USD,Elrond USD,147.36,2021-07-22,2021-11-22,123 days,210.72,2022-01-22,10 days,8.0,8.13,3.8,4.33,1.14,113,202.72,79.98,179.4,True,False,33.92
59,cripto,FTM-USD,Fantom USD,2.1,2021-07-20,2022-01-16,180 days,371.29,2022-01-30,2 days,0.14,1.11,0.04,1.07,0.53,178,371.15,7.18,208.51,True,False,28.3
60,cripto,DOT-USD,Polkadot USD,18.08,2021-07-20,2021-11-04,107 days,178.63,2022-01-24,2 days,-3.96,1.87,-2.22,4.09,-0.72,105,182.59,-197.93,173.89,True,False,17.25
61,cripto,ADA-USD,Cardano USD,1.05,2021-12-10,2022-01-17,38 days,27.1,2022-02-01,0 days,-0.0,0.0,-0.01,0.01,-0.01,38,27.1,-inf,71.32,True,False,18.56
62,cripto,MATIC-USD,MaticNetwork USD,1.65,2021-11-18,2021-12-26,38 days,67.59,2022-01-25,7 days,9.48,18.42,14.02,4.4,4.12,31,58.11,135.36,187.45,True,False,28.57
63,cripto,LUNA1-USD,Terra USD,52.01,2021-10-19,2021-12-26,68 days,118.15,2022-01-30,2 days,3.59,2.94,3.04,0.09,3.35,66,114.56,179.33,173.58,True,False,24.89
64,cripto,AR-USD,Arweave USD,38.64,2021-12-13,2022-01-01,19 days,51.37,2022-01-26,6 days,18.16,31.58,35.36,3.78,12.71,13,33.2,302.72,255.4,True,False,40.63
65,cripto,LINK-USD,Chainlink USD,17.26,2021-09-21,2021-11-11,51 days,45.99,2022-01-27,5 days,12.94,9.8,28.13,18.32,1.62,46,33.06,258.71,71.86,True,False,26.92
66,cripto,CRO-USD,CryptocomCoin USD,0.43,2021-09-30,2021-11-23,54 days,200.97,2022-01-22,10 days,17.91,18.52,8.91,9.6,1.04,44,183.06,179.14,416.04,False,True,46.53
67,cripto,HNT-USD,Helium USD,27.84,2021-12-15,2022-01-04,20 days,43.28,2022-01-22,9 days,16.85,45.0,38.95,6.05,7.71,11,26.42,187.28,240.21,True,False,39.63
68,cripto,ATOM-USD,Cosmos USD,28.14,2021-12-14,2022-01-16,33 days,78.07,2022-01-30,1 days,-2.96,3.03,-3.79,6.82,-0.65,32,81.02,-295.52,253.19,True,False,31.81
69,cripto,BNB-USD,BinanceCoin USD,383.0,2021-09-28,2021-11-08,41 days,70.29,2022-01-31,1 days,1.44,2.44,2.05,0.39,3.36,40,68.85,144.03,172.12,True,False,29.53
70,cripto,ALGO-USD,Algorand USD,0.97,2021-07-21,2021-09-12,53 days,145.02,2022-02-01,0 days,-29.81,0.0,-20.56,20.56,-1.05,53,174.83,-inf,329.87,False,False,34.15
71,cripto,AVAX-USD,Avalanche USD,70.18,2021-12-13,2022-01-01,19 days,30.74,2022-01-30,2 days,-2.52,10.53,-8.19,18.72,-0.46,17,33.26,-125.87,195.64,True,False,35.64
72,cripto,FIL-USD,FilecoinFutures USD,21.04,2021-07-20,2021-09-05,47 days,102.27,2022-01-25,7 days,13.91,14.89,13.6,1.29,46.72,40,88.36,198.73,220.89,True,False,26.27
73,cripto,AXS-USD,AxieInfinity USD,52.86,2021-09-21,2021-11-07,47 days,127.53,2022-01-28,4 days,11.64,8.51,9.13,0.62,23.93,43,115.89,291.06,269.51,True,False,25.65
74,cripto,MANA-USD,Decentraland USD,2.77,2021-09-28,2021-11-25,58 days,299.76,2022-01-28,4 days,21.64,6.9,7.22,0.32,10.66,54,278.12,541.01,515.03,False,True,47.4
75,cripto,THETA-USD,THETA USD,2.92,2021-12-14,2021-12-27,13 days,36.05,2022-02-01,0 days,-0.85,0.0,-2.36,2.36,-1.74,13,36.9,-inf,283.87,True,False,23.58
76,fii,KNRI11.SA,FII KINEA   CI,133.72,2021-08-23,2021-09-27,35 days,10.95,2021-11-30,62 days,4.88,177.14,44.59,132.55,0.34,-27,6.07,7.87,-22.47,True,False,46.26
77,fii,HGRE11.SA,FII HG REAL CI,132.96,2021-06-02,2021-07-23,51 days,12.77,2021-11-23,69 days,15.07,135.29,118.05,17.25,7.27,-18,-2.3,21.85,12.8,True,False,47.69
78,fii,RBVO11.SA,FII RIOBCRI2CI,12.38,2021-05-03,2021-10-15,165 days,31.52,2022-01-27,4 days,-0.07,2.42,-0.22,2.64,-0.13,161,31.59,-1.71,19.62,True,False,41.95
79,fii,HGLG11.SA,FII CSHG LOGCI,170.29,2021-09-03,2022-01-20,139 days,7.76,2021-11-24,68 days,8.15,48.92,105.05,56.13,1.91,71,-0.39,11.99,-0.55,True,False,55.11
80,fii,NPAR11.SA,FII NESTPAR CI,12.35,2021-08-30,2021-10-29,60 days,7.44,2021-12-02,60 days,8.56,100.0,115.14,15.14,8.14,0,-1.13,14.27,-inf,True,False,46.03
81,fii,PPLA11.SA,PPLA        UNT,5.78,2021-03-10,2021-04-01,22 days,20.01,2022-01-10,21 days,-1.91,95.45,-9.55,105.01,-0.09,1,21.92,-9.1,2192.44,True,False,38.41
82,fii,IRDM11.SA,FII IRIDIUM CI,108.74,2021-10-04,2021-10-11,7 days,3.41,2021-12-17,45 days,7.46,642.86,219.15,423.71,0.52,-38,-4.06,16.58,10.68,False,True,54.75
83,fii,BCRI11.SA,FII BEES CRICI,110.87,2021-09-08,2022-01-28,142 days,2.84,2021-12-02,60 days,8.27,42.25,291.03,248.78,1.17,82,-5.43,13.78,-6.62,False,True,79.59
84,fii,MFII11.SA,FII MERITO ICI,109.65,2021-08-24,2021-09-30,37 days,2.29,2021-11-24,68 days,7.49,183.78,327.42,143.64,2.3,-31,-5.2,11.01,16.78,False,True,74.08
85,fii,VRTA11.SA,FII FATOR VECI,104.62,2021-07-02,2021-07-30,28 days,5.17,2021-12-02,60 days,6.05,214.29,117.08,97.2,1.22,-32,-0.88,10.08,2.76,True,False,41.5
86,fii,SARE11.SA,FII SANT RENCI,72.12,2021-09-23,2021-10-18,25 days,9.5,2021-11-30,62 days,14.18,248.0,149.22,98.78,1.53,-37,-4.68,22.87,12.64,False,True,73.18
87,fii,HABT11.SA,FII HABIT IICI,111.03,2021-10-08,2021-10-29,21 days,6.68,2021-12-15,47 days,5.59,223.81,83.66,140.15,0.6,-26,1.09,11.89,-4.2,False,True,82.06
88,fii,HSML11.SA,FII HSI MALLCI,76.06,2021-11-26,2021-12-30,34 days,15.67,2022-01-31,0 days,-0.18,0.0,-1.17,1.17,-6.8,34,15.85,-inf,46.63,True,False,27.49
89,fii,RBRF11.SA,FII RBRALPHACI,71.57,2021-09-28,2021-10-15,17 days,6.15,2021-11-22,70 days,5.75,411.76,93.46,318.3,0.29,-53,0.4,8.21,-0.76,True,False,37.55
90,fii,BRCO11.SA,FII BRESCO  CI,98.32,2021-07-06,2021-07-19,13 days,5.93,2021-11-26,66 days,15.8,507.69,266.17,241.52,1.11,-53,-9.86,23.94,18.61,True,False,54.64
91,fii,XPLG11.SA,FII XP LOG  CI,98.43,2021-06-25,2021-07-20,25 days,5.59,2021-12-01,61 days,8.49,244.0,151.74,92.26,1.66,-36,-2.89,13.91,8.04,True,False,54.26
92,fii,MALL11.SA,FII MALLS BPCI,98.0,2021-08-17,2022-01-21,157 days,6.99,2021-11-24,68 days,17.01,43.31,243.42,200.1,1.22,89,-10.02,25.01,-11.26,False,True,60.27
93,fii,JSRE11.SA,FII JS REAL CI,80.07,2021-11-23,2021-12-30,37 days,18.61,2022-01-24,7 days,2.15,18.92,11.53,7.39,1.81,30,16.46,30.66,54.87,False,True,48.98
94,fii,MGFF11.SA,FII MOGNO   CI,63.09,2021-10-08,2021-10-15,7 days,4.64,2021-11-24,68 days,6.54,971.43,140.85,830.58,0.17,-61,-1.9,9.62,3.11,False,False,43.89
95,fii,XPSF11.SA,FII XP SELECCI,78.58,2021-06-28,2021-07-30,32 days,2.71,2021-11-24,68 days,11.54,212.5,425.72,213.22,2.01,-36,-8.83,16.97,24.52,True,False,42.61
96,fii,BTLG11.SA,FII BTLG    CI,105.25,2021-09-16,2021-10-15,29 days,2.31,2021-11-25,67 days,7.36,231.03,318.6,87.56,3.68,-38,-5.05,10.99,13.29,False,True,54.96
97,fii,RECR11.SA,FII REC RECECI,102.4,2021-08-17,2021-09-02,16 days,2.85,2021-11-24,68 days,5.61,425.0,197.12,227.88,0.87,-52,-2.77,8.25,5.32,False,True,68.66
98,fii,KNIP11.SA,FII KINEA IPCI,104.0,2021-07-01,2021-07-30,29 days,2.92,2021-11-09,83 days,3.81,286.21,130.35,155.86,0.84,-54,-0.89,4.59,1.64,False,True,65.36
99,fii,HGCR11.SA,FII CSHG CRICI,107.64,2021-06-28,2021-10-01,95 days,6.04,2021-11-26,66 days,6.99,69.47,115.73,46.25,2.56,29,-0.95,10.6,-3.28,False,True,60.51
100,index,^BVSP,IBOVESPA,112388.0,2021-03-08,2021-06-07,91 days,13.09,2022-01-05,26 days,8.36,28.57,63.9,35.33,1.86,65,4.72,32.17,7.27,False,True,80.25
101,index,^IXIC,NASDAQ Composite,14239.88,2021-10-04,2021-11-19,46 days,9.87,2022-01-27,4 days,5.14,8.7,52.08,43.38,1.23,42,4.73,128.47,11.26,True,False,39.41
102,index,^GSPC,S&P 500,4515.55,2021-10-04,2022-01-03,91 days,9.86,2022-01-27,4 days,3.78,4.4,38.4,34.01,1.16,87,6.07,94.62,6.98,True,False,38.57
103,index,^DJI,Dow Jones Industrial Average,35131.86,2021-09-30,2022-01-04,96 days,7.01,2022-01-27,4 days,2.8,4.17,39.95,35.79,1.15,92,4.21,70.05,4.58,True,False,36.69
104,index,^MERV,MERVAL,90907.51,2021-07-19,2021-11-08,112 days,43.62,2021-11-29,63 days,13.32,56.25,30.55,25.7,1.24,49,30.3,21.15,61.83,False,False,66.58
105,index,^NYA,NYSE COMPOSITE (DJ),16659.77,2021-12-03,2022-01-12,40 days,5.29,2022-01-27,4 days,2.6,10.0,49.1,39.1,1.29,36,2.69,64.97,7.49,True,False,38.37
106,index,^XAX,NYSE AMEX COMPOSITE INDEX,3600.28,2020-10-01,2022-01-12,468 days,67.96,2021-08-19,165 days,21.61,35.26,31.8,3.46,12.93,303,46.35,13.1,15.3,False,True,56.87
107,index,^BUK100P,Cboe UK 100,747.31,2021-02-26,2022-01-17,325 days,13.73,2021-09-20,134 days,8.21,41.23,59.76,18.53,3.41,191,5.53,6.12,2.89,False,True,49.3
108,index,^RUT,Russell 2000,2028.45,2021-08-19,2021-11-08,81 days,12.75,2022-01-27,4 days,2.69,4.94,21.07,16.13,1.39,77,10.06,67.17,13.07,True,False,35.13
109,index,^VIX,CBOE Volatility Index,24.83,2021-11-03,2022-01-26,84 days,100.81,2022-01-03,28 days,43.52,33.33,43.17,9.84,4.88,56,57.29,155.44,102.3,False,True,60.65
110,index,^FTSE,FTSE 100,7526.82,2021-09-21,2022-01-17,118 days,10.01,2021-11-30,63 days,5.88,53.39,58.7,5.31,13.62,55,4.13,9.33,7.52,False,True,48.58
111,index,^GDAXI,DAX PERFORMANCE-INDEX,15647.73,2021-12-03,2022-01-05,33 days,6.52,2022-01-24,8 days,0.4,24.24,6.18,18.07,0.36,25,6.12,5.03,24.47,True,False,42.66
112,index,^FCHI,CAC 40,7072.11,2021-12-03,2022-01-05,33 days,8.32,2022-01-24,8 days,0.17,24.24,2.01,22.23,0.09,25,8.15,2.09,32.61,True,False,42.41
113,index,^STOXX50E,ESTX 50 PR.EUR,4218.11,2021-12-03,2022-01-05,33 days,6.82,2022-01-24,8 days,-0.14,24.24,-2.08,26.32,-0.08,25,6.97,-1.77,27.86,True,False,42.61
114,index,^N100,Euronext 100 Index,1331.31,2021-12-03,2022-01-05,33 days,6.08,2022-01-24,8 days,-0.17,24.24,-2.8,27.05,-0.11,25,6.25,-2.13,25.01,True,False,39.95
115,index,^BFX,BEL 20,4110.4,2021-12-14,2022-01-04,21 days,5.13,2022-01-24,8 days,-0.83,38.1,-16.15,54.24,-0.3,13,5.96,-10.35,45.81,True,False,35.39
116,index,IMOEX.ME,MOEX Russia Index,3569.94,2021-12-13,2022-01-04,22 days,3.17,2022-01-24,8 days,4.02,36.36,126.7,90.34,1.42,14,-0.85,50.25,-6.05,False,True,40.03
117,index,^N225,Nikkei 225,27078.48,2021-10-13,2021-11-16,34 days,5.56,2022-01-27,5 days,0.33,14.71,5.85,8.86,0.74,29,5.24,6.51,18.06,True,False,31.92
118,index,^HSI,HANG SENG INDEX,23802.26,2021-10-06,2021-10-20,14 days,8.2,2022-01-05,26 days,2.37,185.71,28.86,156.85,0.19,-12,5.84,9.11,-48.63,True,False,50.87
119,index,000001.SS,SSE Composite Index,3361.44,2021-11-05,2021-12-13,38 days,4.32,2022-01-28,0 days,-0.97,0.0,-22.35,22.35,-1.05,38,5.29,-inf,13.92,False,False,23.49
120,index,399001.SZ,Shenzhen Component,13328.06,2021-10-12,2021-12-13,62 days,5.86,2022-01-28,0 days,-0.53,0.0,-9.02,9.02,-1.12,62,6.39,-inf,10.3,False,False,26.32
121,index,^JKSE,Composite Index,6631.15,2021-02-02,2022-01-21,353 days,11.02,2021-05-24,252 days,14.35,71.39,130.25,58.86,2.25,101,-3.33,5.69,-3.3,True,False,48.42
122,index,MSCI,MSCI Inc,536.12,2021-10-04,2021-11-16,43 days,10.6,2022-01-27,4 days,8.76,9.3,82.68,73.38,1.14,39,1.84,219.05,4.71,False,True,48.04
123,index,^TNX,CBOE Interest Rate 10 Year T No,1.78,2020-08-04,2022-01-18,532 days,142.38,2021-08-02,182 days,42.26,34.21,29.68,4.53,8.41,350,100.12,23.22,28.61,False,True,50.18
124,bov,GGBR4.SA,GERDAU      PN      N1,27.84,2021-11-10,2021-12-16,36 days,22.44,2022-01-25,6 days,0.18,16.67,0.78,15.89,0.05,30,22.26,2.92,74.21,True,False,47.22
125,bov,SUZB3.SA,SUZANO S.A. ON      NM,59.2,2021-07-30,2022-01-18,172 days,14.34,2021-10-27,96 days,18.2,55.81,126.95,71.14,1.81,76,-3.86,18.96,-5.09,True,False,51.24
126,bov,HAPV3.SA,HAPVIDA     ON      NM,12.71,2021-10-26,2021-11-11,16 days,15.26,2022-01-05,26 days,26.18,162.5,171.51,9.01,21.42,-10,-10.92,100.69,109.15,False,True,79.7
127,bov,BBDC4.SA,BRADESCO    PN      N1,22.8,2021-11-04,2022-01-31,88 days,13.8,2021-12-30,32 days,17.0,36.36,123.21,86.85,1.44,56,-3.2,53.12,-5.72,False,True,82.59
128,bov,ABEV3.SA,AMBEV S/A   ON,14.97,2021-10-22,2021-11-05,14 days,17.29,2022-01-20,11 days,3.04,78.57,17.58,60.99,0.29,3,14.25,27.63,474.97,False,True,55.6
129,bov,VIVT3.SA,TELEF BRASILON,49.68,2021-07-27,2021-11-19,115 days,27.85,2022-01-14,17 days,5.54,14.78,19.91,5.13,4.83,98,22.3,32.61,22.76,False,False,75.96
130,bov,WEGE3.SA,WEG         ON      NM,32.29,2021-11-30,2021-12-16,16 days,9.63,2022-01-10,21 days,9.95,131.25,103.31,27.94,3.83,-5,-0.32,47.37,6.37,False,True,67.09
131,bov,NEOE3.SA,NEOENERGIA  ON      NM,16.5,2021-10-06,2021-12-03,58 days,20.83,2022-01-10,21 days,11.78,36.21,56.53,20.32,2.93,37,9.06,56.07,24.48,False,True,92.13
132,bov,ETER3.SA,ETERNIT     ON      NM,17.82,2021-10-29,2021-12-28,60 days,45.99,2022-01-24,7 days,8.18,11.67,17.79,6.13,3.47,53,37.81,116.9,71.34,False,True,54.95
133,bov,ENEV3.SA,ENEVA       ON      NM,13.33,2021-10-22,2021-11-19,28 days,6.47,2022-01-18,13 days,5.84,46.43,90.31,43.88,2.11,15,0.63,44.91,4.18,False,True,66.67
134,bov,BPAC11.SA,BTGP BANCO  UNT     N2,24.04,2021-03-18,2021-07-26,130 days,33.16,2022-01-18,13 days,20.49,10.0,61.8,51.8,1.22,117,12.67,157.62,10.83,False,True,75.64
135,bov,CSNA3.SA,SID NACIONALON,25.54,2021-06-17,2021-07-29,42 days,13.97,2021-11-18,74 days,23.1,176.19,165.37,10.82,16.83,-32,-9.13,31.22,28.54,False,True,55.04
136,bov,ITUB4.SA,ITAUUNIBANCOPN      N1,,2021-03-01,2021-06-16,107 days,28.53,2021-12-30,33 days,17.72,30.84,62.12,31.28,2.05,74,10.81,53.71,14.6,False,False,
137,bov,VALE3.SA,VALE        ON      NM,80.87,2021-02-02,2021-05-11,98 days,32.2,2021-11-18,74 days,23.12,75.51,71.79,3.72,26.42,24,9.08,31.24,37.85,True,False,38.18
138,bov,PETR4.SA,PETROBRAS   PN      N2,32.35,2021-08-04,2022-01-27,176 days,44.09,2021-09-20,133 days,40.22,75.57,91.22,15.65,6.23,43,3.87,30.24,9.0,False,True,75.55
139,bov,CAML3.SA,CAMIL       ON      NM,9.0,2021-11-29,2021-12-30,31 days,19.65,2022-01-28,3 days,-0.09,9.68,-0.47,10.14,-0.05,28,19.74,-3.05,70.51,True,False,30.6
140,bov,TOTS3.SA,TOTVS       ON      NM,29.38,2021-10-22,2021-11-11,20 days,11.35,2022-01-18,13 days,15.6,65.0,137.45,72.45,1.92,7,-4.25,119.99,-60.72,False,False,74.31
141,bov,USIM5.SA,USIMINAS    PNA     N1,15.97,2021-06-17,2021-08-10,54 days,20.53,2021-11-05,87 days,30.07,161.11,146.44,14.67,10.71,-33,-9.53,34.56,28.89,False,True,44.18
142,bov,RADL3.SA,RAIADROGASILON      NM,23.35,2021-12-02,2021-12-30,28 days,11.23,2022-01-24,7 days,10.73,25.0,95.51,70.51,1.37,21,0.5,153.28,2.4,False,True,67.75
143,bov,GFSA3.SA,GAFISA      ON      NM,2.04,2021-05-24,2021-06-14,21 days,14.25,2022-01-18,13 days,17.49,61.9,122.72,60.81,2.05,8,-3.24,134.5,-40.46,False,False,79.69
144,bov,MEAL3.SA,IMC S/A     ON      NM,2.55,2021-05-13,2021-06-21,39 days,24.33,2022-01-18,13 days,18.14,33.33,74.57,41.24,1.85,26,6.19,139.54,23.79,False,False,74.42
145,bov,UNIP3.SA,UNIPAR      ON,91.5,2021-11-04,2021-12-30,56 days,35.05,2022-01-27,4 days,2.35,7.14,6.71,0.43,11.83,52,32.7,58.8,62.88,True,False,43.91
146,bov,CVCB3.SA,CVC BRASIL  ON      NM,14.38,2021-03-09,2021-06-28,111 days,68.38,2022-01-18,13 days,22.65,11.71,33.12,21.41,1.62,98,45.73,174.2,46.66,False,False,77.67
147,bov,LREN3.SA,LOJAS RENNERON      NM,28.21,2021-02-26,2021-06-08,102 days,30.76,2022-01-05,26 days,22.27,25.49,72.41,46.92,1.58,76,8.49,85.67,11.17,False,True,78.75
148,bov,BOBR4.SA,BOMBRIL     PN,1.55,2021-05-28,2021-06-10,13 days,34.8,2022-01-18,13 days,4.81,100.0,13.82,86.18,0.16,0,29.99,36.99,inf,False,True,54.55
149,bov,BRPR3.SA,BR PROPERT  ON      NM,7.24,2021-08-17,2021-09-13,27 days,10.8,2022-01-10,21 days,12.03,77.78,111.46,33.68,3.41,6,-1.24,57.31,-20.62,False,True,76.05
150,bov,RAPT3.SA,RANDON PART ON      N1,12.18,2021-08-17,2021-09-30,44 days,17.69,2021-12-16,46 days,-3.16,104.55,-17.84,122.38,-0.15,-2,20.85,-6.86,-1042.42,True,False,31.75
151,bov,POMO4.SA,MARCOPOLO   PN      N2,3.41,2021-05-04,2021-07-05,62 days,35.33,2021-11-30,62 days,26.1,100.0,73.86,26.14,2.94,0,9.23,42.09,inf,False,True,74.65
152,bov,RAIL3.SA,RUMO S.A.   ON      NM,15.69,2021-10-29,2021-12-15,47 days,15.95,2022-01-31,0 days,-0.44,0.0,-2.79,2.79,-1.56,47,16.39,-inf,34.87,True,False,46.02
153,bov,LAME4.SA,LOJAS AMERICPN      N1,6.55,2021-10-04,2021-11-12,39 days,32.09,2022-01-10,11 days,23.66,28.21,73.73,45.52,1.66,28,8.43,215.07,30.11,False,False,63.64
154,bov,CCRO3.SA,CCR SA      ON      NM,13.03,2021-04-30,2021-06-07,38 days,13.36,2022-01-10,21 days,14.94,55.26,111.79,56.53,2.01,17,-1.58,71.13,-9.27,False,False,89.06
155,bov,GUAR3.SA,GUARARAPES  ON,12.72,2021-03-03,2021-06-08,97 days,68.4,2022-01-18,13 days,37.42,13.4,54.71,41.31,1.36,84,30.98,287.86,36.88,False,False,85.4
156,bov,CSAN3.SA,COSAN       ON      NM,23.91,2021-10-29,2022-01-31,94 days,19.98,2022-01-10,21 days,19.22,22.34,96.2,73.86,1.32,73,0.76,91.54,1.04,False,False,78.93
157,bov,SANB11.SA,SANTANDER BRUNT,33.1,2021-03-01,2021-06-07,98 days,23.04,2021-12-30,32 days,9.13,32.65,39.64,6.99,6.62,66,13.9,28.53,21.07,False,True,62.5
158,bov,MNPR3.SA,MINUPAR     ON,5.94,2021-09-08,2021-09-28,20 days,8.84,2022-01-10,21 days,0.94,105.0,10.61,94.39,0.11,-1,7.9,4.47,-790.12,True,False,48.5
159,bov,TAEE11.SA,TAESA       UNT     N2,38.28,2021-07-01,2021-08-20,50 days,9.52,2021-11-23,69 days,12.06,138.0,126.63,11.37,12.21,-19,-2.54,17.47,13.34,False,True,82.93
160,bov,CMIG3.SA,CEMIG       ON      N1,18.62,2021-07-19,2022-01-31,196 days,29.11,2021-08-16,168 days,35.01,85.71,120.24,34.53,3.59,28,-5.89,20.84,-21.05,False,False,74.24
161,bov,BBAS3.SA,BRASIL      ON      NM,32.66,2021-09-20,2021-12-06,77 days,16.11,2022-01-05,26 days,12.53,33.77,77.78,44.02,1.81,51,3.58,48.21,7.02,False,True,92.92
